#  eta  phi  dep  det     cap0     cap1     cap2     cap3  HcalDetId
    -5   71    1   HB  3.51020  3.26520  3.69420  3.76380   420042C7
    -5   72    1   HB  3.44860  3.64760  3.81540  3.66700   420042C8
    -6    1    1   HB  3.64763  3.44880  3.98720  3.69404   42004301
    -6    2    1   HB  4.64180  4.53800  4.72540  4.84720   42004302
    -6    3    1   HB  4.12440  3.75500  4.02260  3.65880   42004303
    -6    4    1   HB  2.57000  3.11760  3.18200  3.04440   42004304
    -6    5    1   HB  3.36220  4.59920  4.11960  3.90400   42004305
    -6    6    1   HB  4.36840  4.61420  4.64240  4.37640   42004306
    -6    7    1   HB  4.05840  4.53860  4.35760  4.97960   42004307
    -6    8    1   HB  3.99100  3.93440  3.73120  3.74000   42004308
    -6    9    1   HB  3.49160  3.37440  3.54820  3.87720   42004309
    -6   10    1   HB  3.94660  4.19100  3.42260  4.16240   4200430A
    -6   11    1   HB  4.30940  4.28300  4.49880  4.04440   4200430B
    -6   12    1   HB  3.54200  3.24620  3.70460  3.64380   4200430C
    -6   13    1   HB  3.12300  3.69020  3.51780  3.65300   4200430D
    -6   14    1   HB  3.32540  3.05000  3.91620  2.95800   4200430E
    -6   15    1   HB  4.15160  4.00640  3.95740  4.05960   4200430F
    -6   16    1   HB  3.47860  3.40380  3.60160  3.58280   42004310
    -6   17    1   HB  3.99040  4.41520  4.39860  4.27960   42004311
    -6   18    1   HB  2.94000  2.98880  3.34140  3.00380   42004312
    -6   19    1   HB  4.20580  4.16140  4.53460  3.76240   42004313
    -6   20    1   HB  2.99580  3.07520  3.29440  3.66480   42004314
    -6   21    1   HB  4.26420  4.39480  4.57300  4.31480   42004315
    -6   22    1   HB  4.38780  4.27780  4.48900  4.17000   42004316
    -6   23    1   HB  2.51160  2.64860  2.82320  2.61380   42004317
    -6   24    1   HB  2.93300  2.89460  3.04120  3.07360   42004318
    -6   25    1   HB  3.90660  3.89840  4.44880  3.94380   42004319
